Startup,Industry,SubVertical,City,Investors,InvestmentType,amount(cr.),Date
Housejoy,EdTech,K12,Mumbai,Lightspeed India,Seed,1.791,2023-04-19
Groww,Media,Streaming,Bengaluru,IFC,Seed,15.012,2025-01-28
Groww,Mobility,Ride Sharing,Hyderabad,"Nexus Venture Partners, Peak XV",Series B,342.468,2021-03-14
FarmBox,Consumer Electronics,Wearables,Gurugram,"Kalaari Capital, Y Combinator",Seed,4.095,2023-09-11
Udaan,RealEstate,Rental Tech,Mumbai,Bessemer Venture Partners,Seed,0.801,2024-01-31
AeroStack,EdTech,Coding Bootcamp,Delhi,"Matrix Partners India, Peak XV",Pre-Series A,1.287,2021-07-24
Ola,Retail,Fashion,Mumbai,Tiger Global Management,Seed,0.558,2023-01-12
FinSpace,Consumer Electronics,Wearables,Gurugram,Blume Ventures,Growth,4425.489,2025-01-22
Rapido,FoodTech,Food Delivery,Kolkata,"A91 Partners, Kedaara Capital, Tiger Global Management",Seed,4.131,2023-11-27
HyperLoop,EdTech,Test Prep,Ahmedabad,"Mirae Asset, SoftBank Vision Fund, Tiger Global",Series B,320.49,2020-05-04
NextSense_10,Mobility,Ride Sharing,Delhi,"IFC, Kalaari Capital, Peak XV",Seed,0.486,2020-05-19
LogiMart,FinTech,NeoBank,Mumbai,"Falcon Edge, Peak XV",Pre-Series A,8.397,2023-04-10
CoreFlow,SaaS,DevTools,Hyderabad,"Elevation Capital, SoftBank Vision Fund, Ventures India",Pre-Series A,6.12,2023-10-07
Groww,FinTech,InsurTech,Ahmedabad,Falcon Edge,Debt,3.366,2020-07-23
ClearDekho,Logistics,Last Mile,Pune,Y Combinator,Private Equity,1367.937,2024-12-05
NextSense,Mobility,Micro Mobility,Hyderabad,"A91 Partners, Falcon Edge, Prosus Ventures",Series A,14.787,2024-07-10
Zomato,HealthTech,Pharmacy,Mumbai,"Blume Ventures, Elevation Capital",Private Equity,1813.365,2024-02-29
FarmTech,EdTech,UpSkilling,Noida,Accel,Series A,37.278,2025-01-28
Innovaccer,Enterprise,Security,Bengaluru,Ribbit Capital,Pre-Seed,0.486,2024-04-28
CureFit,HealthTech,Health Analytics,Noida,Accel,Series B,100.899,2023-02-22
WorkPay,Enterprise,Security,Ahmedabad,Tiger Global,Series A,47.187,2022-05-30
